date_id,full_date,day_number,day_name,week_number,month_number,month_name,quarter_number,year_number,is_weekend
20220101,2022-01-01,1,Saturday,52,1,January,1,2022,1
20220102,2022-01-02,2,Sunday,52,1,January,1,2022,1
20220103,2022-01-03,3,Monday,1,1,January,1,2022,0
20220104,2022-01-04,4,Tuesday,1,1,January,1,2022,0
20220105,2022-01-05,5,Wednesday,1,1,January,1,2022,0
20220106,2022-01-06,6,Thursday,1,1,January,1,2022,0
20220107,2022-01-07,7,Friday,1,1,January,1,2022,0
20220108,2022-01-08,8,Saturday,1,1,January,1,2022,1
20220109,2022-01-09,9,Sunday,1,1,January,1,2022,1
20220110,2022-01-10,10,Monday,2,1,January,1,2022,0
20220111,2022-01-11,11,Tuesday,2,1,January,1,2022,0
20220112,2022-01-12,12,Wednesday,2,1,January,1,2022,0
20220113,2022-01-13,13,Thursday,2,1,January,1,2022,0
20220114,2022-01-14,14,Friday,2,1,January,1,2022,0
20220115,2022-01-15,15,Saturday,2,1,January,1,2022,1
20220116,2022-01-16,16,Sunday,2,1,January,1,2022,1
20220117,2022-01-17,17,Monday,3,1,January,1,2022,0
20220118,2022-01-18,18,Tuesday,3,1,January,1,2022,0
20220119,2022-01-19,19,Wednesday,3,1,January,1,2022,0
20220120,2022-01-20,20,Thursday,3,1,January,1,2022,0
20220121,2022-01-21,21,Friday,3,1,January,1,2022,0
20220122,2022-01-22,22,Saturday,3,1,January,1,2022,1
20220123,2022-01-23,23,Sunday,3,1,January,1,2022,1
20220124,2022-01-24,24,Monday,4,1,January,1,2022,0
20220125,2022-01-25,25,Tuesday,4,1,January,1,2022,0
20220126,2022-01-26,26,Wednesday,4,1,January,1,2022,0
20220127,2022-01-27,27,Thursday,4,1,January,1,2022,0
20220128,2022-01-28,28,Friday,4,1,January,1,2022,0
20220129,2022-01-29,29,Saturday,4,1,January,1,2022,1
20220130,2022-01-30,30,Sunday,4,1,January,1,2022,1
20220131,2022-01-31,31,Monday,5,1,January,1,2022,0
20220201,2022-02-01,1,Tuesday,5,2,February,1,2022,0
20220202,2022-02-02,2,Wednesday,5,2,February,1,2022,0
20220203,2022-02-03,3,Thursday,5,2,February,1,2022,0
20220204,2022-02-04,4,Friday,5,2,February,1,2022,0
20220205,2022-02-05,5,Saturday,5,2,February,1,2022,1
20220206,2022-02-06,6,Sunday,5,2,February,1,2022,1
20220207,2022-02-07,7,Monday,6,2,February,1,2022,0
20220208,2022-02-08,8,Tuesday,6,2,February,1,2022,0
20220209,2022-02-09,9,Wednesday,6,2,February,1,2022,0
20220210,2022-02-10,10,Thursday,6,2,February,1,2022,0
20220211,2022-02-11,11,Friday,6,2,February,1,2022,0
20220212,2022-02-12,12,Saturday,6,2,February,1,2022,1
20220213,2022-02-13,13,Sunday,6,2,February,1,2022,1
20220214,2022-02-14,14,Monday,7,2,February,1,2022,0
