product_id,product_name,brand,category_id,supplier_id,cost_price,selling_price,warranty_months,launch_date,is_active
1,IKEA Sofa,IKEA,7,4,31315,41615.29,0,2022-05-17,1
2,Adidas Jacket,Adidas,8,4,78676,89938.59,0,2026-02-25,1
3,LG Top Load,LG,5,3,43573,56612.74,24,2026-07-05,1
4,Godrej Dining Table,Godrej,7,2,3825,4588.75,0,2026-03-08,1
5,Whirlpool Fully Automatic,Whirlpool,5,6,30720,35691.3,36,2021-09-04,1
6,Samsung Note,Samsung,1,2,54346,60949.03,36,2025-05-08,1
7,Whirlpool Double Door,Whirlpool,4,7,55773,68192.35,24,2023-11-24,1
8,ITC Atta,ITC,10,12,65892,84917.54,0,2023-03-24,1
9,Whirlpool Convertible,Whirlpool,4,10,69815,92873.23,24,2022-07-17,1
10,IFB Top Load,IFB,5,10,74023,90019.61,36,2026-04-02,1
11,Fortune Atta,Fortune,10,7,61870,78707.91,0,2024-09-19,1
12,Vivo Plus,Vivo,1,3,24097,29816.26,24,2022-04-24,1
13,Whirlpool Convertible,Whirlpool,4,12,3324,3777.99,24,2023-08-14,1
14,LG Fully Automatic,LG,5,8,52190,60932.23,12,2022-12-02,1
15,Levi's Jeans,Levi's,8,2,15774,21179.25,0,2021-12-11,1
16,ASUS Aspire,ASUS,2,1,38643,42736.15,24,2023-02-23,1
17,Whirlpool Double Door,Whirlpool,4,6,46546,52106.89,12,2024-04-14,1
18,Philips Induction Stove,Philips,6,11,76072,90348.82,24,2024-04-16,1
19,Samsung Convertible,Samsung,4,1,55999,64715.2,12,2021-09-09,1
20,Apple Pro,Apple,1,8,45774,61260.27,12,2023-01-25,1
21,Vivo Note,Vivo,1,7,9174,11147.35,24,2021-12-23,1
22,Bosch Top Load,Bosch,5,1,19434,23744.02,24,2025-09-09,1
23,Fortune Oil,Fortune,10,6,55942,68345.1,0,2025-08-19,1
24,Samsung Double Door,Samsung,4,9,55678,73669.38,12,2025-05-24,1
25,Butterfly Air Fryer,Butterfly,6,2,71922,91148.42,36,2022-02-19,1
26,Samsung Double Door,Samsung,4,1,2844,3211.45,12,2024-04-23,1
27,IKEA Sofa,IKEA,7,10,17974,21071.4,0,2024-07-24,1
28,Biba Kurti,Biba,9,11,63299,82396.48,0,2022-06-29,1
29,Godrej Double Door,Godrej,4,4,63470,73791.5,24,2022-08-03,0
30,Godrej Convertible,Godrej,4,12,79831,101112.09,12,2023-06-19,1
31,TCL QLED,TCL,3,4,51687,64885.28,36,2022-12-12,1
32,Godrej Dining Table,Godrej,7,1,60074,71038.92,0,2025-03-20,1
33,IFB Front Load,IFB,5,11,57269,71647.25,36,2023-09-29,1
34,Samsung Convertible,Samsung,4,5,44201,53741.34,36,2024-06-20,0
35,Samsung Ultra,Samsung,1,9,31651,39952.32,12,2026-01-08,1
36,Lenovo Aspire,Lenovo,2,5,12248,16339.2,36,2024-10-23,1
37,Godrej Sofa,Godrej,7,10,77136,95435.09,0,2025-08-22,1
38,Godrej Wardrobe,Godrej,7,10,1000,1314.53,0,2021-11-24,1
39,Biba Dress,Biba,9,10,41969,49733.42,0,2022-07-16,1
40,Sony Bravia,Sony,3,8,27845,31010.35,36,2025-01-28,1
41,Philips Mixer,Philips,6,1,55647,69114.52,24,2021-08-08,1
42,W Kurti,W,9,6,48209,53368.63,0,2023-12-16,1
43,Acer Inspiron,Acer,2,5,4824,5920.68,12,2024-06-06,1
44,HP Inspiron,HP,2,5,37598,48331.78,36,2023-06-23,1
45,Xiaomi Max,Xiaomi,1,2,70755,80928.6,36,2026-06-24,1
46,Levi's Jeans,Levi's,8,4,23726,31919.48,0,2024-12-01,1
